,Message
9462,"DEAR Aaron, THANK YOU FOR YOUR BOOKING (ORDER ID: 37422), YOUR ORDER HAS BEEN ASSIGNED TO Paul(9526516286) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2013-07-05 at 6:43. FOR ASSISTANCE WHATSAPP US ON 8342271372."
9463,Appointment with Dr Roberto in KOLAR on 2011-03-23 at 21:56 is confirmed. For queries call 1800 2154 5564. Your appt. might get delayed in case the doctor is attending an emergency.
9464,"[Top O'Trenton Holiday Inn] Hi Sebastian, your reservation is confirmed for 13 people on 2014-02-18 at 4:45. We can hold your table for a maximum of 35 mins."
9465,The PNR for your Air India Flt 4W752 for CCU-JSA on 2011-04-02 at 15:24 hrs  is TFI61X. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9466,"Repair ref.no for your car is JC53331445 opened on 2014-06-08 23:27hrs,ETD of your car is 2014-06-09 2:46hrs and est.repair amt is Rs.1311 Rgds, True Value"
9467,Bimal Auto Agency : Service of your car KA83L5422 is due in 12 days on 2011-02-13. Please contact us at 9523673186 to book a service.
9468,"PNR:8558783362,TRAIN:2658,DOJ:2015-01-30,SL,BAP-BTI,Dep:9:42, Miles,S3 60 , Fare:4228,SC:10.0+PG+INS"
9469,The PNR for your Air India Flt 5C786 for AKD-NAG on 2013-04-14 at 19:26 hrs  is IMWMCC. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9470,Aryan Auto Agency : Service of your car KA41L3548 is due in 42 days on 2011-03-19. Please contact us at 9117363182 to book a service.
9471,"PNR:4435268145,TRAIN:8638,DOJ:2015-02-27,AC3,BJW-BLH,Dep:5:14, Owen,B5 31 , Fare:2619,SC:10.0+PG+INS"
9472,"Welcome to CATSKILL HUDSON BC R.No. 401, 374, 241 Ch.In 2010-01-26 16:44 Ch.out 2010-02-03 12:00."
9473,"Repair ref.no for your car is JC66138888 opened on 2010-03-04 9:49hrs,ETD of your car is 2010-03-05 14:25hrs and est.repair amt is Rs.2347 Rgds, Hyundai Auto Agency"
9474,Bill dated 2012-10-07 for Rs 961 has been generated for your Vodafone fixedline/broadband relationship no. 34636856. The same will reach you by 2012-10-10. Due date: 2012-10-22.
9475,"[Prairie 360] Hi Brayden, your reservation is confirmed for 13 people on 2014-03-26 at 22:34. We can hold your table for a maximum of 2 mins."
9476,Bill dated 2014-04-10 for Rs 164 has been generated for your Idea fixedline/broadband relationship no. 66647825. The same will reach you by 2014-04-13. Due date: 2014-04-25.
9477,"Thank you for choosing Uber for 2010-06-12 at 10:13. Cab:KA75Q4257 , Chauffer: Cody, Cell: 9658286176 will reach you. T&C apply, visit www.Uber.com"
9478,"Repair ref.no for your car is JC26514344 opened on 2013-10-15 6:30hrs,ETD of your car is 2013-10-16 13:19hrs and est.repair amt is Rs.1466 Rgds, Hyundai Auto Agency"
9479,"Thank you for choosing ucabs for 2010-07-04 at 0:47. Cab:KA55F7757 , Chauffer: Shawn, Cell: 9344686568 will reach you. T&C apply, visit www.ucabs.com"
9480,"Repair ref.no for your car is JC24661232 opened on 2009-09-25 1:17hrs,ETD of your car is 2009-09-26 7:20hrs and est.repair amt is Rs.1915 Rgds, Maruti Auto Agency"
9481,"Dear Guest, Thanks for choosing YO! Sushi. Order ID 2266. Delivery by 2012-02-22 7:31. Enjoy 10% discount on your next purchase. Code QYCRT0. T&C."
9482,"Repair ref.no for your car is JC81123874 opened on 2012-01-18 20:54hrs,ETD of your car is 2012-01-19 11:50hrs and est.repair amt is Rs.2078 Rgds, Hyundai Auto Agency"
9483,Appointment with Dr Gregory in Chennai on 2013-08-19 at 14:50 is confirmed. For queries call 1800 3748 7526. Your appt. might get delayed in case the doctor is attending an emergency.
9484,"PNR:8366127381,TRAIN:43748,DOJ:2014-09-08,AC3,AMSA-BGVN,Dep:4:41, Cameron,B6 75 , Fare:1909,SC:10.0+PG+INS"
9485,"Hi Customer, Booking ID: WCMHM6E. Seats: STANDARD-E1,E2, 2 seat(s) for Now You See Me 2 on 2012-12-08 15:17 at Cinepolis: Royal Meenakshi Mall. Please carry your CC/DC card which was used for booking tickets."
9486,* KSRTC m-Ticket *  from: Hyderabad to: PAYYANUR PsngrName: Raymond TripCode: 1024HydPAY PNR No.: J35155780 JnyDate: 2011-04-19 DepTime: 10:24  SeatNo.: 16  Class: Non-AC Sleeper  BoardingPt: Hyderabad Rly Station Txn Password: 2771 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
9487,"* KSRTC m-Ticket *  from: Dharmastala to: Belagavi PsngrName: Isaac TripCode: 735DhaBel PNR No.: J77745524 JnyDate: 2014-01-22 DepTime: 7:35  SeatNo.: 34, 43, 15, 49, 18, 56, 26, 28  Class: AC chair  BoardingPt: Dharmastala Residency Road Txn Password: 5846 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9488,"PNR:5386748746,TRAIN:81856,DOJ:2014-05-29,AC3,BGH-BGM,Dep:1:49, Angel,B6 51 , Fare:1996,SC:10.0+PG+INS"
9489,The PNR for your AirAsia Flt 6J347 for GAY-DAE on 2012-07-31 at 18:48 hrs  is OQ0R9R. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9490,"* KSRTC m-Ticket *  from: COONUR to: THIRUNALLAR PsngrName: Jacob TripCode: 1726COOTHI PNR No.: J55758385 JnyDate: 2011-05-14 DepTime: 17:26  SeatNo.: 6, 11, 46, 48, 17, 53, 59  Class: Non-AC chair  BoardingPt: COONUR MG Road Txn Password: 8313 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9491,"[starbucks store] Hi Seth, your reservation is confirmed for 6 people on 2014-05-18 at 20:33. We can hold your table for a maximum of 43 mins."
9492,"Hi Customer, Booking ID: WPJMZYN. Seats: GOLD-L11,L12,L13,L14,L15,L16, 6 seat(s) for La La Land on 2015-02-08 11:48 at INOX: Forum Neighbourhood Mall, Whitefield. Please carry your CC/DC card which was used for booking tickets."
9493,Welcome to Turtle Mountain Community College R.No. 290 Ch.In 2010-01-30 10:32 Ch.out 2010-02-09 12:00.
9494,The PNR for your INDIGO Flt 2Y448 for PAT-HYD on 2013-09-04 at 5:33 hrs  is DSHJ44. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9495,Appointment with Dr Alan in Hyderabad on 2014-03-19 at 21:54 is confirmed. For queries call 1800 4641 8713. Your appt. might get delayed in case the doctor is attending an emergency.
9496,"Repair ref.no for your car is JC65724143 opened on 2015-03-25 7:58hrs,ETD of your car is 2015-03-26 18:50hrs and est.repair amt is Rs.2850 Rgds, Lakshmi Auto Agency"
9497,Appointment with Dr Kaiden in CHIKKAMAGALURU on 2012-11-28 at 1:47 is confirmed. For queries call 1800 7463 8675. Your appt. might get delayed in case the doctor is attending an emergency.
9498,"[Sandwich shop] Hi Julio, your reservation is confirmed for 18 people on 2010-10-25 at 11:49. We can hold your table for a maximum of 1 mins."
9499,The PNR for your AirAsia Flt 5B682 for IMF-VNS on 2012-01-19 at 22:14 hrs  is VIMI58. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9500,Appointment with Dr Evan in MERCARA MADIKERI on 2010-05-09 at 1:51 is confirmed. For queries call 1800 8317 7625. Your appt. might get delayed in case the doctor is attending an emergency.
9501,"Dear Guest, Thanks for choosing MCL Cafeterias. Order ID 5321. Delivery by 2011-08-16 4:22. Enjoy 24% discount on your next purchase. Code BVNAGK. T&C."
9502,"Dear Guest, Thanks for choosing Webers. Order ID 5265. Delivery by 2014-01-27 7:46. Enjoy 1% discount on your next purchase. Code OEF6CL. T&C."
9503,"Thank you for choosing Meru for 2011-10-07 at 0:56. Cab:KA35K2473 , Chauffer: Mario, Cell: 9432228855 will reach you. T&C apply, visit www.Meru.com"
9504,"Repair ref.no for your car is JC36718315 opened on 2010-05-29 18:57hrs,ETD of your car is 2010-05-30 17:41hrs and est.repair amt is Rs.2039 Rgds, True Value"
9505,"PNR:3846428663,TRAIN:41221,DOJ:2013-12-28,AC3,BGU-BNL,Dep:9:49, Jesus,B4 30 , Fare:5153,SC:10.0+PG+INS"
9506,"Hi Customer, Booking ID: W7QYQMN. Seats: GOLD-G9,G10,G11, 3 seat(s) for Kung Fu Panda 3 on 2011-12-16 12:45 at Cinepolis: Orion East Mall, Banaswadi. Please carry your CC/DC card which was used for booking tickets."
9507,"[Carrows] Hi Zane, your reservation is confirmed for 24 people on 2010-01-08 at 23:21. We can hold your table for a maximum of 3 mins."
9508,Bimal Auto Agency : Service of your car KA85C4115 is due in 27 days on 2015-06-14. Please contact us at 9183534148 to book a service.
9509,"[Nordsee] Hi Cameron, your reservation is confirmed for 15 people on 2013-05-29 at 11:52. We can hold your table for a maximum of 19 mins."
9510,The PNR for your AirAsia Flt 3Q285 for STV-JGA on 2014-11-13 at 12:44 hrs  is HN4EAI. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9511,"PNR:4323354528,TRAIN:5671,DOJ:2011-01-02,FC,ANF-BHV,Dep:3:13, Miguel,F5 20 , Fare:9516,SC:10.0+PG+INS"
9512,Appointment with Dr Luis in KASARGOD on 2010-01-04 at 17:17 is confirmed. For queries call 1800 6428 4116. Your appt. might get delayed in case the doctor is attending an emergency.
9513,The PNR for your Air India Flt 7I863 for JGB-KUU on 2009-11-12 at 1:24 hrs  is XGME93. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9514,Appointment with Dr Nicholas in Belagavi on 2011-11-01 at 16:15 is confirmed. For queries call 1800 5648 1481. Your appt. might get delayed in case the doctor is attending an emergency.
9515,Lakshmi Auto Agency : Service of your car KA22J1347 is due in 46 days on 2011-09-21. Please contact us at 9468884147 to book a service.
9516,The PNR for your Air India Flt 2W657 for LKO-CCJ on 2013-10-24 at 15:31 hrs  is FDU4R1. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9517,"[restaurant cum hotel] Hi Ivan, your reservation is confirmed for 26 people on 2011-06-05 at 1:52. We can hold your table for a maximum of 45 mins."
9518,Bill dated 2009-10-04 for Rs 887 has been generated for your Bsnl fixedline/broadband relationship no. 66138246. The same will reach you by 2009-10-07. Due date: 2009-10-19.
9519,Appointment with Dr Derek in SECUNDERABAD on 2012-04-14 at 13:48 is confirmed. For queries call 1800 8628 2271. Your appt. might get delayed in case the doctor is attending an emergency.
9520,The PNR for your INDIGO Flt 5R683 for RRK-JSA on 2012-01-09 at 17:16 hrs  is K5P1MA. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9521,"* KSRTC m-Ticket *  from: HIRIYUR to: THRISSUR PsngrName: Cayden TripCode: 1433HIRTHR PNR No.: J62074453 JnyDate: 2013-04-09 DepTime: 14:33  SeatNo.: 39, 40, 52, 53, 20, 30  Class: Non-AC Sleeper  BoardingPt: HIRIYUR Residency Road Txn Password: 1637 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9522,"* KSRTC m-Ticket *  from: Pune to: COONUR PsngrName: Brody TripCode: 2121PunCOO PNR No.: J23311932 JnyDate: 2015-04-03 DepTime: 21:21  SeatNo.: 16, 50, 36, 2  Class: AC chair  BoardingPt: Pune MG Road Txn Password: 1648 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9523,"Dear Guest, Thanks for choosing Pub counter. Order ID 8665. Delivery by 2012-07-14 10:45. Enjoy 3% discount on your next purchase. Code AP5KFY. T&C."
9524,* KSRTC m-Ticket *  from: Pune to: Dharmastala PsngrName: Mitchell TripCode: 2039PunDha PNR No.: J16783910 JnyDate: 2011-01-29 DepTime: 20:39  SeatNo.: 11  Class: AC chair  BoardingPt: Pune MG Road Txn Password: 3463 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
9525,"Dear Guest, Thanks for choosing Cold Spring Tavern. Order ID 6277. Delivery by 2011-07-09 8:45. Enjoy 28% discount on your next purchase. Code O5MTQV. T&C."
9526,"* KSRTC m-Ticket *  from: MANTRALAYA to: DAVANEGERE PsngrName: Nolan TripCode: 1450MANDAV PNR No.: J68319031 JnyDate: 2013-03-05 DepTime: 14:50  SeatNo.: 4, 39, 44, 45, 54, 59, 29  Class: Non-AC Sleeper  BoardingPt: MANTRALAYA Rly Station Txn Password: 2572 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9527,Welcome to Credito Valtellinese R.No. 513 Ch.In 2010-07-28 21:32 Ch.out 2010-08-08 12:00.
9528,"[Costa Vida] Hi Jesus, your reservation is confirmed for 21 people on 2014-04-13 at 13:21. We can hold your table for a maximum of 41 mins."
9529,The PNR for your JET Airways Flt 4J361 for PGH-TRV on 2014-11-13 at 17:26 hrs  is FJJONH. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9530,Bill dated 2014-01-09 for Rs 1001 has been generated for your Idea fixedline/broadband relationship no. 24884851. The same will reach you by 2014-01-12. Due date: 2014-01-24.
9531,"Hi Customer, Booking ID: WV2ZPQY. Seats: PLATINUM-M12,M13,M14,M15,M16, 5 seat(s) for Star Trek Beyond on 2012-10-20 13:14 at Gopalan Miniplex: Signature Mall, Old Madras Road. Please carry your CC/DC card which was used for booking tickets."
9532,The PNR for your JET Airways Flt 2C754 for AGR-DEL on 2012-08-31 at 21:52 hrs  is BB4UOL. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9533,"[Blue Heaven Revolving Restaurant] Hi Paul, your reservation is confirmed for 21 people on 2010-02-28 at 9:37. We can hold your table for a maximum of 33 mins."
9534,Lakshmi Auto Agency : Service of your car KA55M1377 is due in 43 days on 2012-04-25. Please contact us at 9224381547 to book a service.
9535,"PNR:4378327851,TRAIN:14627,DOJ:2013-10-27,AC3,BNBH-BSDP,Dep:8:40, George,B7 30 , Fare:4142,SC:10.0+PG+INS"
9536,The PNR for your SPICE JET Flt 3S631 for HYD-BLR on 2014-08-08 at 21:39 hrs  is UJ4EPN. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9537,Maruti Auto Agency : Service of your car KA32E3543 is due in 22 days on 2012-06-23. Please contact us at 9284365755 to book a service.
9538,"Repair ref.no for your car is JC82215345 opened on 2011-06-23 9:57hrs,ETD of your car is 2011-06-24 20:46hrs and est.repair amt is Rs.1921 Rgds, Sarden Auto Agency"
9539,"Welcome to Camp George Dewey R.No. 248, 488, 364, 390 Ch.In 2013-10-09 5:12 Ch.out 2013-10-31 12:00."
9540,"Welcome to CITY NB OF METROPOLIS R.No. 328, 513, 146, 405 Ch.In 2013-12-05 21:39 Ch.out 2013-12-23 12:00."
9541,"Dear Guest, Thanks for choosing Yanggakdo Hotel. Order ID 4434. Delivery by 2013-10-02 0:51. Enjoy 29% discount on your next purchase. Code GXJZHE. T&C."
9542,"Hi Customer, Booking ID: W0U1PP1. Seats: STANDARD-A6,A7,A8, 3 seat(s) for Sing on 2010-12-08 0:49 at Triveni Theatre: Gandhinagar. Please carry your CC/DC card which was used for booking tickets."
9543,"Hi Customer, Booking ID: WHPK0VI. Seats: SILVER-G2,G3,G4,G5, 4 seat(s) for Storks on 2015-04-24 6:22 at Gopalan Grand Mall: Old Madras Road. Please carry your CC/DC card which was used for booking tickets."
9544,"Hi Customer, Booking ID: WWWBKFK. Seats: SILVER-M2,M3,M4,M5,M6,M7,M8,M9, 8 seat(s) for Central Intelligence on 2012-11-29 19:56 at PVR: Vaishnavi Sapphire Mall, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
9545,"PNR:1131647644,TRAIN:64174,DOJ:2010-03-06,SL,ALNI-BEHR,Dep:22:31, Micah,S4 50 , Fare:5229,SC:10.0+PG+INS"
9546,"[Soup house] Hi Jalen, your reservation is confirmed for 12 people on 2010-11-30 at 7:44. We can hold your table for a maximum of 11 mins."
9547,Bill dated 2010-07-18 for Rs 862 has been generated for your Vodafone fixedline/broadband relationship no. 87245172. The same will reach you by 2010-07-21. Due date: 2010-08-02.
9548,"[Magpie Caf] Hi Julio, your reservation is confirmed for 29 people on 2012-03-18 at 0:51. We can hold your table for a maximum of 17 mins."
9549,"Thank you for choosing Ola for 2014-12-14 at 20:51. Cab:KA66H7882 , Chauffer: Alexander, Cell: 9861565657 will reach you. T&C apply, visit www.Ola.com"
9550,Aryan Auto Agency : Service of your car KA46M4452 is due in 48 days on 2015-04-14. Please contact us at 9361311618 to book a service.
9551,"Dear Guest, Thanks for choosing Kirbys Pig Stand. Order ID 6528. Delivery by 2010-12-26 21:35. Enjoy 15% discount on your next purchase. Code O04S6K. T&C."
9552,Bill dated 2010-05-15 for Rs 1032 has been generated for your Vodafone fixedline/broadband relationship no. 14711174. The same will reach you by 2010-05-18. Due date: 2010-05-30.
9553,"Thank you for choosing Uber for 2012-08-11 at 23:54. Cab:KA27K7765 , Chauffer: Diego, Cell: 9111312237 will reach you. T&C apply, visit www.Uber.com"
9554,"Thank you for choosing Uber for 2015-06-13 at 17:16. Cab:KA63C5526 , Chauffer: Tanner, Cell: 9567148442 will reach you. T&C apply, visit www.Uber.com"
9555,"Dear Guest, Thanks for choosing ESPN Zone. Order ID 4253. Delivery by 2012-05-08 7:25. Enjoy 24% discount on your next purchase. Code ESVXKL. T&C."
9556,"Dear Guest, Thanks for choosing Top of the World. Order ID 3273. Delivery by 2014-07-31 8:39. Enjoy 15% discount on your next purchase. Code F017AS. T&C."
9557,"Hi Customer, Booking ID: W9I286K. Seats: STANDARD-A16, 1 seat(s) for Hidden Figures on 2012-10-25 11:13 at Cauvery Theatre: Sankey Road. Please carry your CC/DC card which was used for booking tickets."
9558,Appointment with Dr Luis in NELLORE on 2014-04-24 at 20:19 is confirmed. For queries call 1800 7573 7461. Your appt. might get delayed in case the doctor is attending an emergency.
9559,"Welcome to Cosi R.No. 533, 398, 311 Ch.In 2011-02-20 3:27 Ch.out 2011-03-04 12:00."
9560,"Thank you for choosing Uber for 2011-05-24 at 11:58. Cab:KA13Y3816 , Chauffer: Andrew, Cell: 9552384676 will reach you. T&C apply, visit www.Uber.com"
9561,Bill dated 2009-11-09 for Rs 160 has been generated for your Reliance fixedline/broadband relationship no. 33851151. The same will reach you by 2009-11-12. Due date: 2009-11-24.
9562,The PNR for your INDIGO Flt 8B141 for RAJ-AGX on 2010-07-20 at 17:20 hrs  is PM6U71. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9563,"Thank you for choosing Ola for 2013-09-12 at 0:46. Cab:KA72E8141 , Chauffer: Spencer, Cell: 9283816257 will reach you. T&C apply, visit www.Ola.com"
9564,"Hi Customer, Booking ID: WHN17VZ. Seats: GOLD-H5, 1 seat(s) for Storks on 2011-09-22 14:53 at PVR: Orion Gold, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
9565,Lakshmi Auto Agency : Service of your car KA21O2721 is due in 63 days on 2014-09-24. Please contact us at 9437855614 to book a service.
9566,"Repair ref.no for your car is JC32863656 opened on 2011-02-13 8:20hrs,ETD of your car is 2011-02-14 19:51hrs and est.repair amt is Rs.2337 Rgds, Bimal Auto Agency"
9567,"DEAR Jorge, THANK YOU FOR YOUR BOOKING (ORDER ID: 78617), YOUR ORDER HAS BEEN ASSIGNED TO Elias(9375581778) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2013-05-15 at 2:56. FOR ASSISTANCE WHATSAPP US ON 8442747343."
9568,* KSRTC m-Ticket *  from: CHANNARAYAPATNA to: KOLHAPUR PsngrName: Brett TripCode: 2152CHAKOL PNR No.: J46655276 JnyDate: 2014-01-06 DepTime: 21:52  SeatNo.: 17  Class: Non-AC chair  BoardingPt: CHANNARAYAPATNA Residency Road Txn Password: 4656 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
9569,"Dear Guest, Thanks for choosing Michie Tavern. Order ID 1423. Delivery by 2010-11-20 18:51. Enjoy 4% discount on your next purchase. Code MR22FU. T&C."
9570,"Repair ref.no for your car is JC31435887 opened on 2011-01-17 22:14hrs,ETD of your car is 2011-01-18 2:11hrs and est.repair amt is Rs.1268 Rgds, Lakshmi Auto Agency"
9571,"PNR:2277531511,TRAIN:6655,DOJ:2012-08-07,FC,BUPH-BRKH,Dep:16:17, Josiah,F6 65 , Fare:3486,SC:10.0+PG+INS"
9572,"Repair ref.no for your car is JC74236746 opened on 2012-01-04 7:31hrs,ETD of your car is 2012-01-05 12:21hrs and est.repair amt is Rs.641 Rgds, Maha Veer Auto Agency"
9573,"Thank you for choosing taxiforsure for 2014-03-30 at 14:23. Cab:KA66X3131 , Chauffer: Carlos, Cell: 9318376713 will reach you. T&C apply, visit www.taxiforsure.com"
9574,Bill dated 2014-10-25 for Rs 865 has been generated for your Airtel fixedline/broadband relationship no. 32415455. The same will reach you by 2014-10-28. Due date: 2014-11-09.
9575,"PNR:6488465266,TRAIN:15433,DOJ:2010-08-21,SL,ADTL-BKN,Dep:22:42, Carlos,S4 29 , Fare:7874,SC:10.0+PG+INS"
9576,Maruti Auto Agency : Service of your car KA36B8327 is due in 56 days on 2012-02-27. Please contact us at 9658183372 to book a service.
9577,"DEAR Tyler, THANK YOU FOR YOUR BOOKING (ORDER ID: 85786), YOUR ORDER HAS BEEN ASSIGNED TO Scott(9774382575) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2015-02-17 at 11:13. FOR ASSISTANCE WHATSAPP US ON 8617621651."
9578,"Repair ref.no for your car is JC56432367 opened on 2014-04-16 11:35hrs,ETD of your car is 2014-04-17 0:18hrs and est.repair amt is Rs.2118 Rgds, Sarden Auto Agency"
9579,"PNR:7763415775,TRAIN:3574,DOJ:2010-05-23,SL,BUDM-BOG,Dep:0:39, Bryce,S4 44 , Fare:6203,SC:10.0+PG+INS"
9580,Maha Veer Auto Agency : Service of your car KA66K7252 is due in 34 days on 2014-01-13. Please contact us at 9822171142 to book a service.
9581,"Thank you for choosing taxiforsure for 2011-07-29 at 19:43. Cab:KA68V4127 , Chauffer: Jeffrey, Cell: 9181128666 will reach you. T&C apply, visit www.taxiforsure.com"
9582,"* KSRTC m-Ticket *  from: THIRUNALLAR to: Madurai PsngrName: Nathaniel TripCode: 021THIMad PNR No.: J92194110 JnyDate: 2013-06-26 DepTime: 0:21  SeatNo.: 34, 41, 43, 54, 56, 26  Class: Non-AC chair  BoardingPt: THIRUNALLAR MG Road Txn Password: 4873 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9583,The PNR for your SPICE JET Flt 6M425 for GAY-ZER on 2010-06-03 at 15:56 hrs  is WOA3SZ. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9584,"Dear Guest, Thanks for choosing Rheinturm DÃƒâ€šÃ¯Â¿Â½sseldorf. Order ID 8346. Delivery by 2013-02-10 1:21. Enjoy 27% discount on your next purchase. Code NRYBFT. T&C."
9585,"Welcome to Big Stone National Wildlife Refuge R.No. 306, 507 Ch.In 2014-05-19 15:58 Ch.out 2014-06-07 12:00."
9586,"PNR:8367766281,TRAIN:2261,DOJ:2014-11-30,AC3,BAO-BJIH,Dep:12:39, Damien,B4 5 , Fare:482,SC:10.0+PG+INS"
9587,"* KSRTC m-Ticket *  from: Mangaluru to: Kozhikode PsngrName: Colin TripCode: 2135ManKoz PNR No.: J50579150 JnyDate: 2014-11-28 DepTime: 21:35  SeatNo.: 37, 38, 41, 10, 45, 22, 26  Class: AC chair  BoardingPt: Mangaluru MG Road Txn Password: 3243 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9588,Maruti Auto Agency : Service of your car KA41P3735 is due in 25 days on 2011-09-15. Please contact us at 9442684727 to book a service.
9589,"Hi Customer, Booking ID: W8BY58O. Seats: STANDARD-L16, 1 seat(s) for Passengers on 2014-09-24 16:57 at PVR: Orion Gold, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
9590,"Repair ref.no for your car is JC34516835 opened on 2012-06-23 15:16hrs,ETD of your car is 2012-06-24 6:13hrs and est.repair amt is Rs.2115 Rgds, Sarden Auto Agency"
9591,"Thank you for choosing radiocabs for 2012-01-24 at 7:19. Cab:KA16H3161 , Chauffer: Mitchell, Cell: 9226841783 will reach you. T&C apply, visit www.radiocabs.com"
9592,"Thank you for choosing KSRTC for 2011-06-29 at 5:50. Cab:KA78N5227 , Chauffer: Nicholas, Cell: 9721828568 will reach you. T&C apply, visit www.KSRTC.com"
9593,The PNR for your INDIGO Flt 6Q726 for RPR-SSE on 2012-02-29 at 13:36 hrs  is X27403. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9594,Bill dated 2014-10-20 for Rs 899 has been generated for your Jio fixedline/broadband relationship no. 51885828. The same will reach you by 2014-10-23. Due date: 2014-11-04.
9595,"* KSRTC m-Ticket *  from: Coimbatore to: CHANNARAYAPATNA PsngrName: Eduardo TripCode: 1958CoiCHA PNR No.: J84546498 JnyDate: 2015-06-25 DepTime: 19:58  SeatNo.: 57, 26, 4, 42  Class: AC Sleeper  BoardingPt: Coimbatore Rly Station Txn Password: 1583 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9596,True Value : Service of your car KA71Z4818 is due in 16 days on 2015-04-13. Please contact us at 9228356576 to book a service.
9597,"PNR:5543447328,TRAIN:34458,DOJ:2013-03-18,AC3,BUPH-BIGA,Dep:10:37, Cooper,B7 23 , Fare:4137,SC:10.0+PG+INS"
9598,"Welcome to Brasserie R.No. 244, 550 Ch.In 2013-11-29 11:38 Ch.out 2013-12-10 12:00."
9599,Bimal Auto Agency : Service of your car KA38K1437 is due in 11 days on 2013-07-08. Please contact us at 9383457587 to book a service.
9600,"PNR:3184587454,TRAIN:8242,DOJ:2014-10-29,FC,UDL-BIJR,Dep:11:50, Mario,F7 88 , Fare:5994,SC:10.0+PG+INS"
9601,Maha Veer Auto Agency : Service of your car KA12U2172 is due in 73 days on 2012-09-24. Please contact us at 9444461215 to book a service.
9602,"Thank you for choosing KSRTC for 2013-03-26 at 6:10. Cab:KA47O3141 , Chauffer: Shawn, Cell: 9615747185 will reach you. T&C apply, visit www.KSRTC.com"
9603,"* KSRTC m-Ticket *  from: MANDYA to: KODAIKANAL PsngrName: Camden TripCode: 1549MANKOD PNR No.: J53519806 JnyDate: 2010-04-09 DepTime: 15:49  SeatNo.: 3, 36, 37, 39, 11, 47, 53, 54, 58  Class: AC chair  BoardingPt: MANDYA Residency Road Txn Password: 4234 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
9604,"Thank you for choosing taxiforsure for 2010-05-21 at 16:19. Cab:KA28Q1862 , Chauffer: Dominic, Cell: 9282871644 will reach you. T&C apply, visit www.taxiforsure.com"
9605,"[Checkers] Hi Caleb, your reservation is confirmed for 11 people on 2010-02-02 at 11:36. We can hold your table for a maximum of 34 mins."
9606,True Value : Service of your car KA25X6544 is due in 46 days on 2013-11-25. Please contact us at 9856645117 to book a service.
9607,"Welcome to Heritage Park R.No. 520, 121 Ch.In 2011-08-05 23:27 Ch.out 2011-08-19 12:00."
9608,The PNR for your Air India Flt 2K134 for BHO-CDP on 2010-11-10 at 16:11 hrs  is QBFJ11. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
9609,"Dear Guest, Thanks for choosing starbucks store. Order ID 5611. Delivery by 2014-11-21 2:54. Enjoy 1% discount on your next purchase. Code GB7Y5F. T&C."
9610,"[Shane 's Rib Shack] Hi Logan, your reservation is confirmed for 10 people on 2011-01-02 at 13:10. We can hold your table for a maximum of 37 mins."
9611,Bill dated 2014-02-20 for Rs 765 has been generated for your Docomo fixedline/broadband relationship no. 82436457. The same will reach you by 2014-02-23. Due date: 2014-03-07.
9612,"PNR:7126572711,TRAIN:25541,DOJ:2009-12-07,AC3,BBQ-BFT,Dep:22:40, Bryson,B8 80 , Fare:237,SC:10.0+PG+INS"
9613,"PNR:3643171231,TRAIN:7831,DOJ:2010-02-09,AC3,BJMD-BHME,Dep:2:24, Samuel,B6 18 , Fare:8840,SC:10.0+PG+INS"
